item_id,agreed_values,n_annotators
1,"[('Wechselkurse', (), 'Inflation')]",2
3,"[('Geldpolitik', (), 'Inflation')]",2
4,"[('Politisches Missmanagement', (), 'Inflation')]",2
5,"[('Hohe Energiepreise', (), 'Inflation')]",2
6,"[('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
7,"[('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme')]",2
8,"[('Politisches Missmanagement', (), 'Inflation')]",2
9,"[('Krieg', (), 'Inflation')]",2
10,"[('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')]",2
11,"[('Lieferkettenprobleme', (), 'Inflation'), ('Hohe Energiepreise', (), 'Lieferkettenprobleme')]",2
12,"[('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
13,"[('Hohe Energiepreise', (), 'Inflation')]",2
14,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme'), ('Krieg', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation')]",2
15,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
16,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Angebot (Rest)'), ('Krieg', (), 'Lieferkettenprobleme'), ('Angebot (Rest)', (), 'Inflation')]",2
17,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
18,"[('Pandemie', (), 'Inflation')]",2
19,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Preistreiberei', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
20,"[('Politisches Missmanagement', (), 'Inflation'), ('Geldpolitik', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
22,"[('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')]",2
23,"[('Inflation', (), 'Inflation')]",2
24,"[('Hohe Energiepreise', (), 'Inflation')]",2
25,"[('Angebot (Rest)', (), 'Inflation')]",2
26,"[('Geopolitik', (), 'Inflation')]",2
27,"[('Pandemie', (), 'Inflation')]",2
28,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
29,"[('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Inflationserwartungen', (), 'Inflation'), ('Hohe Energiepreise', (), 'Angebot (Rest)'), ('Pandemie', (), 'Lieferkettenprobleme'), ('Lebensmittelpreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')]",2
30,"[('Steuererhöhungen', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
31,"[('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')]",2
32,"[('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
33,"[('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Geopolitik')]",2
35,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
37,"[('Pandemie', (), 'Inflation'), ('Migration', (), 'Inflation')]",2
38,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
41,"[('Inflation', (), 'Inflation')]",2
42,"[('Krieg', (), 'Geopolitik')]",2
43,"[('Lebensmittelpreise', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')]",2
44,"[('Angebot (Rest)', (), 'Inflation')]",2
45,"[('Migration', (), 'Inflation')]",2
46,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
47,"[('Krieg', (), 'Ökonomische Krise'), ('Angebot (Rest)', (), 'Inflation')]",2
48,"[('Nachfrage (Rest)', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')]",2
49,"[('Pandemie', (), 'Lieferkettenprobleme'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geopolitik', (), 'Hohe Energiepreise')]",2
51,"[('Pandemie', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
52,"[('Pandemie', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
53,"[('Krieg', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
54,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
57,"[('Lebensmittelpreise', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
58,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation')]",2
59,"[('Preistreiberei', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
60,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
62,"[('Steuererhöhungen', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
63,"[('Krieg', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
64,"[('Inflation', (), 'Inflation')]",2
65,"[('Krieg', (), 'Inflation')]",2
66,"[('Löhne', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
67,"[('Politisches Missmanagement', (), 'Inflation')]",2
68,"[('Lebensmittelpreise', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
69,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
70,"[('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme')]",2
72,"[('Nachfrage (Rest)', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
73,"[('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
74,"[('Politisches Missmanagement', (), 'Inflation')]",2
75,"[('Ökonomische Krise', (), 'Inflation')]",2
76,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
77,"[('Hohe Staatsschulden', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
80,"[('Preistreiberei', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')]",2
81,"[('Preistreiberei', (), 'Inflation')]",2
82,"[('Krieg', (), 'Inflation')]",2
83,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
84,"[('Krieg', (), 'Staatsausgaben')]",2
86,"[('Angebot (Rest)', (), 'Inflation')]",2
89,"[('Geopolitik', (), 'Inflation')]",2
90,"[('Steuererhöhungen', (), 'Inflation'), ('Löhne', (), 'Inflation')]",2
91,"[('Geopolitik', (), 'Inflation')]",2
92,"[('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
93,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation')]",2
94,"[('Klimawandel', (), 'Inflation'), ('Preistreiberei', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')]",2
95,"[('Löhne', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')]",2
96,"[('Krieg', (), 'Inflation')]",2
97,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
98,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme'), ('Geopolitik', (), 'Inflation')]",2
100,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
101,"[('Ökonomische Krise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise')]",2
102,"[('Krieg', (), 'Lieferkettenprobleme')]",2
105,"[('Migration', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation'), ('Politisches Missmanagement', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation')]",2
106,"[('Krieg', (), 'Migration'), ('Migration', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
107,"[('Politisches Missmanagement', (), 'Inflation')]",2
108,"[('Krieg', (), 'Staatsausgaben'), ('Staatsausgaben', (), 'Inflation')]",2
113,"[('Pandemie', (), 'Inflation'), ('Migration', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
114,"[('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
115,"[('Nachfrage (Rest)', (), 'Inflation')]",2
116,"[('Pandemie', (), 'Inflation')]",2
117,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise')]",2
118,"[('Krieg', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
119,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Ökonomische Krise')]",2
120,"[('Pandemie', (), 'Inflation'), ('Politisches Missmanagement', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
121,"[('Politisches Missmanagement', (), 'Inflation')]",2
122,"[('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')]",2
123,"[('Hohe Energiepreise', (), 'Inflation')]",2
124,"[('Nachfrage (Rest)', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
125,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')]",2
126,"[('Inflation', (), 'Inflation')]",2
127,"[('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
128,"[('Pandemie', (), 'Inflation')]",2
129,"[('Krieg', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
132,"[('Krieg', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
134,"[('Staatsausgaben', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')]",2
135,"[('Nachfrage (Rest)', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
136,"[('Lieferkettenprobleme', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
137,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise'), ('Arbeitskräftemangel', (), 'Inflation')]",2
140,"[('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Hohe Energiepreise'), ('Geopolitik', (), 'Inflation')]",2
141,"[('Krieg', (), 'Inflation')]",2
143,"[('Migration', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
144,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
145,"[('Migration', (), 'Inflation'), ('Krieg', (), 'Hohe Staatsschulden'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Staatsschulden', (), 'Inflation')]",2
146,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
147,"[('Politisches Missmanagement', (), 'Inflation')]",2
149,"[('Staatsausgaben', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
150,"[('Staatsausgaben', (), 'Inflation')]",2
152,"[('Hohe Energiepreise', (), 'Inflation'), ('Preistreiberei', (), 'Inflation')]",2
153,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
154,"[('Migration', (), 'Inflation')]",2
155,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
158,"[('Krieg', (), 'Inflation')]",2
161,"[('Krieg', (), 'Inflation')]",2
162,"[('Staatsausgaben', (), 'Inflation')]",2
164,"[('Steuererhöhungen', (), 'Inflation')]",2
165,"[('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise'), ('Geopolitik', (), 'Hohe Energiepreise')]",2
166,"[('Steuererhöhungen', (), 'Inflation')]",2
167,"[('Hohe Energiepreise', (), 'Inflation')]",2
168,"[('Hohe Energiepreise', (), 'Inflation')]",2
169,"[('Pandemie', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')]",2
171,"[('Pandemie', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')]",2
172,"[('Nachfrage (Rest)', (), 'Inflation')]",2
174,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')]",2
175,"[('Ökonomische Krise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
177,"[('Politisches Missmanagement', (), 'Inflation')]",2
178,"[('Lebensmittelpreise', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
179,"[('Lebensmittelpreise', (), 'Inflation')]",2
180,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
181,"[('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')]",2
182,"[('Pandemie', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Geopolitik')]",2
183,"[('Nachfrage (Rest)', (), 'Inflation')]",2
184,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
187,"[('Krieg', (), 'Inflation')]",2
188,"[('Krieg', (), 'Inflation')]",2
189,"[('Hohe Energiepreise', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
190,"[('Politisches Missmanagement', (), 'Inflation')]",2
192,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
193,"[('Krieg', (), 'Inflation')]",2
194,"[('Steuererhöhungen', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise')]",2
195,"[('Politisches Missmanagement', (), 'Inflation')]",2
196,"[('Steuererhöhungen', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
197,"[('Pandemie', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Hohe Energiepreise')]",2
198,"[('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation')]",2
199,"[('Politisches Missmanagement', (), 'Inflation')]",2
201,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
202,"[('Ökonomische Krise', (), 'Inflation')]",2
203,"[('Ökonomische Krise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Ökonomische Krise')]",2
204,"[('Pandemie', (), 'Inflation')]",2
205,"[('Hohe Energiepreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Hohe Energiepreise'), ('Krieg', (), 'Geopolitik')]",2
206,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
209,"[('Angebot (Rest)', (), 'Inflation')]",2
210,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation')]",2
211,"[('Hohe Energiepreise', (), 'Inflation')]",2
212,"[('Geldpolitik', (), 'Inflation')]",2
215,"[('Ökonomische Krise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Migration', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
216,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Pandemie', (), 'Nachfrage (Rest)')]",2
217,"[('Pandemie', (), 'Angebot (Rest)'), ('Pandemie', (), 'Lieferkettenprobleme'), ('Angebot (Rest)', (), 'Inflation')]",2
218,"[('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
219,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')]",2
220,"[('Migration', (), 'Inflation')]",2
221,"[('Hohe Energiepreise', (), 'Inflation')]",2
222,"[('Hohe Energiepreise', (), 'Inflation')]",2
223,"[('Pandemie', (), 'Inflation')]",2
224,"[('Krieg', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')]",2
225,"[('Angebot (Rest)', (), 'Inflation')]",2
226,"[('Krieg', (), 'Inflation')]",2
227,"[('Politisches Missmanagement', (), 'Inflation')]",2
228,"[('Löhne', (), 'Inflation')]",2
229,"[('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
231,"[('Hohe Energiepreise', (), 'Inflation')]",2
232,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
233,"[('Krieg', (), 'Inflation')]",2
234,"[('Krieg', (), 'Staatsausgaben'), ('Migration', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation'), ('Politisches Missmanagement', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation')]",2
235,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Klimawandel', (), 'Inflation')]",2
236,"[('Krieg', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
237,"[('Wohnraum', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
238,"[('Politisches Missmanagement', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')]",2
240,"[('Nachfrage (Rest)', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')]",2
241,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Löhne', (), 'Inflation')]",2
242,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
243,"[('Löhne', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
245,"[('Angebot (Rest)', (), 'Inflation'), ('Steuererhöhungen', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')]",2
246,"[('Steuererhöhungen', (), 'Inflation')]",2
247,"[('Nachfrage (Rest)', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
248,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
249,"[('Angebot (Rest)', (), 'Inflation')]",2
250,"[('Krieg', (), 'Inflation')]",2
251,"[('Krieg', (), 'Inflation')]",2
252,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
254,"[('Krieg', (), 'Inflation')]",2
257,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')]",2
258,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme')]",2
260,"[('Politisches Missmanagement', (), 'Inflation')]",2
262,"[('Krieg', (), 'Inflation')]",2
263,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme'), ('Angebot (Rest)', (), 'Inflation')]",2
266,"[('Politisches Missmanagement', (), 'Inflation')]",2
270,"[('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation')]",2
274,"[('Lieferkettenprobleme', (), 'Angebot (Rest)'), ('Krieg', (), 'Lieferkettenprobleme'), ('Angebot (Rest)', (), 'Inflation')]",2
277,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Ökonomische Krise')]",2
278,"[('Politisches Missmanagement', (), 'Inflation')]",2
280,"[('Krieg', (), 'Inflation')]",2
283,"[('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation')]",2
284,"[('Inflation', (), 'Inflation')]",2
286,"[('Krieg', (), 'Hohe Energiepreise')]",2
287,"[('Hohe Energiepreise', (), 'Inflation')]",2
288,"[('Krieg', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
290,"[('Migration', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
291,"[('Krieg', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
292,"[('Pandemie', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
293,"[('Ökonomische Krise', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
294,"[('Krieg', (), 'Angebot (Rest)'), ('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme'), ('Lieferkettenprobleme', (), 'Inflation')]",2
295,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation')]",2
296,"[('Hohe Energiepreise', (), 'Inflation')]",2
297,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Geopolitik'), ('Preistreiberei', (), 'Inflation'), ('Geopolitik', (), 'Hohe Energiepreise')]",2
298,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
299,"[('Steuererhöhungen', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
300,"[('Krieg', (), 'Geopolitik')]",2
301,"[('Hohe Energiepreise', (), 'Inflation')]",2
302,"[('Krieg', (), 'Lieferkettenprobleme')]",2
303,"[('Krieg', (), 'Geopolitik')]",2
304,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
